; ; -22; -21; -20; -19; -18; -17; -16; -15; -14; -13; -12; -11; -10; -9; -8; -7; -6; -5; -4; -3; -2; -1; 0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23
1971; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00055; 0,17; 0,32; 0,55; 0,8; 0,88; 0,93; 0,96; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1971; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,01; 0,032; 0,068; 0,14; 0,22; 0,33; 0,45; 0,62; 0,79; 0,94; 0,98; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1971; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00082; 0,0044; 0,043; 0,2; 0,58; 0,79; 0,9; 0,95; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1971; 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0011; 0,0049; 0,058; 0,3; 0,71; 0,91; 0,97; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1971; 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0012; 0,0043; 0,013; 0,052; 0,25; 0,84; 0,96; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1971; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00069; 0,0038; 0,01; 0,02; 0,028; 0,048; 0,29; 0,57; 0,84; 0,96; 1; 1; 1; 1; 1; 1; 1; 1; 
1971; 7; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0014; 0,0049; 0,015; 0,026; 0,064; 0,27; 0,43; 0,55; 0,69; 0,86; 0,96; 0,99; 1; 1; 1; 1; 
1971; 8; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00096; 0,0047; 0,015; 0,03; 0,27; 0,49; 0,66; 0,81; 0,92; 0,98; 1; 1; 1; 1; 1; 
1971; 9; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,004; 0,012; 0,023; 0,065; 0,32; 0,51; 0,63; 0,78; 0,88; 0,95; 0,98; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1971; 10; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00082; 0,0037; 0,01; 0,045; 0,19; 0,77; 0,97; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1971; 11; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00069; 0,0044; 0,013; 0,12; 0,42; 0,6; 0,76; 0,93; 0,98; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1971; 12; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0012; 0,019; 0,083; 0,21; 0,35; 0,56; 0,92; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1972; 1; 0; 0; 0; 0,027; 0,073; 0,14; 0,24; 0,43; 0,6; 0,7; 0,79; 0,85; 0,91; 0,95; 0,97; 0,99; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1972; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0,012; 0,033; 0,065; 0,13; 0,23; 0,34; 0,5; 0,63; 0,72; 0,81; 0,91; 0,96; 0,99; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1972; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0047; 0,039; 0,13; 0,35; 0,51; 0,7; 0,93; 0,99; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1972; 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0021; 0,0063; 0,031; 0,21; 0,45; 0,8; 0,96; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1972; 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0021; 0,0058; 0,014; 0,024; 0,039; 0,32; 0,71; 0,91; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1972; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0016; 0,0048; 0,015; 0,026; 0,053; 0,22; 0,46; 0,58; 0,69; 0,86; 0,96; 0,99; 1; 1; 1; 1; 
1972; 7; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00041; 0,0033; 0,0081; 0,019; 0,028; 0,043; 0,2; 0,43; 0,74; 0,92; 0,98; 1; 1; 1; 
1972; 8; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0011; 0,0043; 0,014; 0,025; 0,055; 0,25; 0,39; 0,51; 0,65; 0,81; 0,92; 0,98; 1; 1; 1; 
1972; 9; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0023; 0,0077; 0,019; 0,029; 0,1; 0,54; 0,71; 0,84; 0,94; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1972; 10; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0012; 0,0052; 0,015; 0,029; 0,4; 0,66; 0,81; 0,9; 0,96; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1972; 11; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0012; 0,0048; 0,024; 0,18; 0,58; 0,87; 0,95; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1972; 12; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00014; 0,0051; 0,016; 0,034; 0,33; 0,84; 0,96; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1973; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0,025; 0,1; 0,22; 0,4; 0,55; 0,65; 0,75; 0,87; 0,96; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1973; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0018; 0,0063; 0,014; 0,055; 0,69; 0,94; 0,98; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1973; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0019; 0,0066; 0,026; 0,31; 0,73; 0,9; 0,97; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1973; 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00082; 0,0043; 0,01; 0,02; 0,035; 0,17; 0,35; 0,64; 0,96; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1973; 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00041; 0,0041; 0,012; 0,023; 0,042; 0,23; 0,52; 0,93; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1973; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0018; 0,006; 0,018; 0,028; 0,056; 0,4; 0,75; 0,93; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 
1973; 7; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00041; 0,0034; 0,0086; 0,019; 0,029; 0,13; 0,57; 0,79; 0,93; 0,99; 1; 1; 1; 1; 1; 
1973; 8; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0034; 0,014; 0,026; 0,04; 0,27; 0,6; 0,87; 0,96; 0,99; 1; 1; 1; 1; 1; 1; 1; 
1973; 9; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,012; 0,12; 0,27; 0,59; 0,78; 0,92; 0,96; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1973; 10; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0025; 0,0081; 0,05; 0,34; 0,78; 0,89; 0,95; 0,98; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1973; 11; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00096; 0,0038; 0,0093; 0,018; 0,054; 0,43; 0,88; 0,96; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1973; 12; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0016; 0,008; 0,038; 0,15; 0,58; 0,8; 0,9; 0,96; 0,98; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1974; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,018; 0,059; 0,13; 0,21; 0,35; 0,58; 0,76; 0,9; 0,98; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1974; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0029; 0,051; 0,12; 0,27; 0,56; 0,91; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1974; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0019; 0,05; 0,41; 0,81; 0,95; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1974; 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00082; 0,0026; 0,0077; 0,017; 0,07; 0,39; 0,82; 0,94; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1974; 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0022; 0,0063; 0,016; 0,027; 0,16; 0,48; 0,83; 0,94; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1974; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0019; 0,0063; 0,016; 0,027; 0,038; 0,2; 0,38; 0,71; 0,91; 0,98; 1; 1; 1; 1; 1; 1; 1; 1; 
1974; 7; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0022; 0,0052; 0,013; 0,023; 0,033; 0,27; 0,5; 0,84; 0,96; 0,99; 1; 1; 1; 1; 1; 1; 
1974; 8; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0025; 0,012; 0,072; 0,22; 0,62; 0,81; 0,9; 0,96; 0,99; 1; 1; 1; 1; 1; 
1974; 9; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0015; 0,0062; 0,014; 0,047; 0,2; 0,7; 0,86; 0,94; 0,98; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1974; 10; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00069; 0,0037; 0,0093; 0,019; 0,029; 0,14; 0,4; 0,58; 0,72; 0,83; 0,91; 0,96; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1974; 11; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0011; 0,0053; 0,013; 0,025; 0,18; 0,71; 0,88; 0,96; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1974; 12; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00082; 0,003; 0,012; 0,066; 0,22; 0,7; 0,88; 0,95; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1975; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00014; 0,0019; 0,0052; 0,011; 0,021; 0,058; 0,17; 0,31; 0,48; 0,84; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1975; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,011; 0,035; 0,072; 0,14; 0,24; 0,38; 0,56; 0,94; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1975; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0015; 0,031; 0,25; 0,47; 0,9; 0,97; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1975; 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0019; 0,0056; 0,014; 0,023; 0,068; 0,2; 0,3; 0,47; 0,76; 0,97; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1975; 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00082; 0,0038; 0,0099; 0,022; 0,032; 0,066; 0,38; 0,64; 0,95; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1975; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00041; 0,004; 0,0096; 0,021; 0,029; 0,099; 0,27; 0,38; 0,5; 0,78; 0,95; 0,99; 1; 1; 1; 1; 
1975; 7; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00014; 0,0022; 0,007; 0,016; 0,027; 0,077; 0,42; 0,6; 0,78; 0,92; 0,99; 1; 1; 1; 1; 
1975; 8; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00041; 0,0036; 0,0092; 0,02; 0,041; 0,24; 0,53; 0,74; 0,86; 0,94; 0,99; 1; 1; 1; 1; 1; 
1975; 9; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0023; 0,0088; 0,028; 0,17; 0,55; 0,78; 0,9; 0,97; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 
1975; 10; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0012; 0,037; 0,12; 0,23; 0,47; 0,78; 0,9; 0,95; 0,98; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1975; 11; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0015; 0,034; 0,12; 0,24; 0,56; 0,81; 0,89; 0,93; 0,96; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1975; 12; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00096; 0,012; 0,13; 0,29; 0,5; 0,89; 0,96; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1976; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0,00069; 0,014; 0,061; 0,13; 0,22; 0,42; 0,65; 0,8; 0,89; 0,94; 0,97; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1976; 2; 0; 0; 0; 0,0011; 0,021; 0,068; 0,13; 0,24; 0,51; 0,7; 0,81; 0,89; 0,94; 0,97; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1976; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0018; 0,0086; 0,039; 0,14; 0,46; 0,72; 0,9; 0,98; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1976; 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00096; 0,004; 0,01; 0,021; 0,05; 0,28; 0,66; 0,98; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1976; 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0011; 0,0045; 0,014; 0,026; 0,23; 0,74; 0,91; 0,97; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1976; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00096; 0,0043; 0,012; 0,022; 0,032; 0,2; 0,41; 0,62; 0,83; 0,96; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1976; 7; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0011; 0,004; 0,011; 0,023; 0,12; 0,51; 0,72; 0,85; 0,96; 0,99; 1; 1; 1; 1; 1; 1; 
1976; 8; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0029; 0,008; 0,019; 0,03; 0,057; 0,23; 0,45; 0,71; 0,88; 0,97; 0,99; 1; 1; 1; 1; 1; 1; 1; 
1976; 9; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0023; 0,007; 0,016; 0,071; 0,27; 0,75; 0,89; 0,97; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1976; 10; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,022; 0,12; 0,23; 0,39; 0,59; 0,74; 0,89; 0,95; 0,97; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1976; 11; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,013; 0,099; 0,28; 0,52; 0,78; 0,95; 0,98; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1976; 12; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0014; 0,0053; 0,014; 0,029; 0,17; 0,7; 0,85; 0,92; 0,96; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1977; 1; 0; 0; 0; 0; 0; 0; 0,0026; 0,021; 0,052; 0,086; 0,18; 0,31; 0,48; 0,62; 0,71; 0,82; 0,9; 0,96; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1977; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,009; 0,029; 0,095; 0,18; 0,38; 0,64; 0,8; 0,89; 0,94; 0,98; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1977; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,016; 0,12; 0,64; 0,91; 0,98; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1977; 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0023; 0,0071; 0,015; 0,025; 0,075; 0,34; 0,63; 0,93; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1977; 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00055; 0,0037; 0,009; 0,018; 0,03; 0,13; 0,46; 0,91; 0,99; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
1977; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0014; 0,0044; 0,013; 0,024; 0,033; 0,11; 0,49; 0,82; 0,96; 1; 1; 1; 1; 1; 1; 1; 1; 
